STD DEV,Q1 (25%),Median (50%),Q3 (75%),IQR,Lower Bound,Upper Bound,Filtered Median,Filtered Std Dev
0.001,0.000268527,0.000276133,0.000286148,1.76E-05,0.000242095,0.000312581,0.000276022,1.25E-05
0.01,0.000391532,0.000400299,0.000410476,1.89E-05,0.000363116,0.000438893,0.000400206,1.33E-05
0.02,0.000763354,0.000774974,7.87E-04,2.35E-05,0.000728144,0.000822038,7.75E-04,1.70E-05
0.03,0.001381065,0.001400468,0.001418904,3.78E-05,0.001324306,0.001475663,0.001400421,2.74E-05
0.04,0.002242796,0.002271761,0.002302146,5.93E-05,0.002153771,0.002391171,0.002271659,4.23E-05
0.05,0.003351557,0.003395834,0.003440119,8.86E-05,0.003218715,0.003572961,0.003395583,6.34E-05
0.06,0.004701857,0.00476103,0.004824101,0.000122244,0.004518491,0.005007467,0.004760832,9.00E-05
0.07,0.006302104,0.006385065,0.006467271,0.000165167,0.006054354,0.006715022,0.006385224,0.000119777
0.08,0.008147388,0.008252795,0.008363805,0.000216417,0.007822763,0.00868843,0.008252117,0.000154503
0.09,0.010246607,0.010374831,0.010500174,0.000253568,0.009866255,0.010880526,0.010374831,0.000187899
0.1,0.012573362,0.012743193,0.012908123,0.000334762,0.012071219,0.013410266,0.012740698,0.000243389
